"sample.id","Province/State","Country/Region","Lat","Long","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"global_39","Manitoba","Canada","53.7609","-98.8139","14","0.735278593412267","0.173892456378405","3.98606814232124","1.29129129129129","1.86186186186186","1.57157157157157","0.0149230655781879","1.08206383370926","1.12403753901195","1.09567007599729","1.44335538335083","2.00813252315544","1.60793043715466","182","2020-03-25","2020-04-06","13"
"global_40","New Brunswick","Canada","46.5653","-66.4619","7.08333333333333","-0.370493594539432","-0.0549352438832236","Inf","1.15115115115115","1.52152152152152","1.31131131131131","-0.122168656597181","0.500357905138069","0.289844039421675","0.41210984811288","1.12738979409206","1.53079283312793","1.26329055133969","85","2020-03-26","2020-04-06","12"
"global_41","Newfoundland and Labrador","Canada","53.1355","-57.6604","14.4285714285714","-0.193589466498201","-0.0454515089384374","Inf","1.14114114114114","1.47147147147147","1.27127127127127","-0.0457026359557813","0.779536308438358","0.672055917468711","0.740591014822505","1.30083671607053","1.71662506270577","1.4358013097185","202","2020-03-24","2020-04-06","14"
"global_42","Nova Scotia","Canada","44.682","-63.7443","17.6666666666667","0.32872827021015","0.0718869094246433","9.64218918447939","1.4014014014014","1.87187187187187","1.61161161161161","0.0714877306381986","1.44391265928226","1.67256195394221","1.5100132775167","1.69277669779405","2.21764258999911","1.83339074789511","265","2020-03-23","2020-04-06","15"
"global_43","Ontario","Canada","51.2538","-85.3232","31.6","1.35284682009847","0.251114077676479","2.76028802117959","1.59159159159159","2.26226226226226","1.91191191191191","0.170269335213099","2.30285608099751","2.94232235919867","2.44474057110746","2.20648539824653","3.03038623700858","2.40463289026009","474","2020-03-09","2020-03-23","15"
"global_44","Prince Edward Island","Canada","46.5107","-63.4168","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_45","Quebec","Canada","52.9399","-73.5491","227.066666666667","1.48346267319121","0.282481283939516","2.45378090503285","0","0","0","0.204443231061848","2.6792920507441","3.47920262341375","2.83571003087743","2.39168820159794","3.35706814671206","2.61159258225937","3406","2020-03-16","2020-03-30","15"
"global_46","Saskatchewan","Canada","52.9399","-106.4509","14.8666666666667","0.0442494402517856","0.0111810285791271","61.9931498837166","1.19119119119119","1.54154154154154","1.34134134134134","0.000960925827825082","1.00512742270618","1.00773205528109","1.00599415836676","1.28906028178604","1.69620422272416","1.42171657143918","223","2020-03-22","2020-04-05","15"
"global_47","","Central African Republic","6.6111","20.9394","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_48","","Chad","15.4542","18.7322","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_49","","Chile","-35.6751","-71.543","105.8","1.09094064830588","0.195208039795528","3.5508126677876","1.65165165165165","2.34234234234234","1.98198198198198","0.17648818820759","2.36805707565143","3.03616449472416","2.5131894030634","2.30994989246049","3.12696541768747","2.49492910729619","1587","2020-03-13","2020-03-27","15"
"global_50","Anhui","China","31.8257","117.2264","47.8666666666667","0.558816656481918","0.0978352247844026","7.08484272497374","1.37137137137137","1.88188188188188","1.61161161161161","0.0811045863635356","1.51408384217614","1.77843062920342","1.58888898537297","1.69098316471401","2.27224336205342","1.85316924935615","718","2020-01-25","2020-02-08","15"
"global_51","Beijing","China","40.1824","116.4142","18.3333333333333","0.317485436931566","0.0619270620032268","11.1929608500372","1.27127127127127","1.7017017017017","1.47147147147147","0.0445503272177845","1.26112064703325","1.39568516834707","1.30228629357022","1.5339426068628","2.02989975945285","1.67750172380854","275","2020-01-24","2020-02-07","15"
"global_52","Chongqing","China","30.0572","107.874","26.7333333333333","-0.248704333836487","-0.0696504609511545","Inf","1.11111111111111","1.46146146146146","1.27127127127127","-0.0274646087644047","0.862183090246012","0.793659937144546","0.838161702425501","1.22779873030905","1.6312819611033","1.35726132393019","401","2020-01-25","2020-02-08","15"
"global_53","Fujian","China","26.0789","117.9874","15.4666666666667","-0.159422296608","-0.0299986713407667","Inf","1.22122122122122","1.56156156156156","1.36136136136136","-0.0376064589780244","0.815386023683944","0.724538141704041","0.7829473430654","1.24778471252197","1.62262560532159","1.36979953183568","232","2020-01-26","2020-02-09","15"
"global_54","Gansu","China","37.8099","101.0583","4.06666666666667","-0.537792964169381","-0.105094757989052","Inf","1.06106106106106","1.3013013013013","1.15115115115115","-0.151255863519912","0.418809568662698","0.194753139100892","0.318795703187068","0.937182236904512","1.1864640215046","1.02259709710516","61","2020-02-01","2020-02-15","15"
"global_55","Guangdong","China","23.3417","113.4244","62.9333333333333","0.957108732863155","0.143732889069222","4.82246746063893","1.39139139139139","1.95195195195195","1.66166166166166","0.0983487855004554","1.64671430297326","1.97765596022846","1.73667812199764","1.76246542748851","2.41807745801544","1.94294756240627","944","2020-01-23","2020-02-06","15"
"global_56","Guangxi","China","23.8298","108.7881","11.4666666666667","0.0381304014192504","0.00593994039756606","116.692615441725","1.22122122122122","1.6016016016016","1.39139139139139","0.00623014655147726","1.0336238552161","1.05075296514799","1.03926813223776","1.35505207923842","1.78544104642417","1.48811108209807","172","2020-01-26","2020-02-09","15"
"global_57","Guizhou","China","26.8154","106.8748","7.66666666666667","-0.440418443801326","-0.103932412711533","Inf","1.1011011011011","1.43143143143143","1.24124124124124","-0.0575372783688071","0.729462755248263","0.599601483233566","0.681382904479295","1.15883367540074","1.52719566070671","1.28148371125924","115","2020-02-02","2020-02-16","15"
"global_58","Hainan","China","19.1959","109.7453","7.73333333333333","0.106433083992531","0.0335792126614361","20.6421510697297","1.22122122122122","1.63163163163163","1.41141141141141","0.0236023328585808","1.13224309416607","1.2000958455245","1.15387624860911","1.39785540208011","1.84080189585535","1.52580401570359","116","2020-01-27","2020-02-10","15"
"global_59","Hebei","China","39.549","116.1306","14.7333333333333","-0.00146294879212414","0.00813984970529847","85.1547885593951","1.29129129129129","1.68168168168168","1.46146146146146","0.0118841453702982","1.06492549928875","1.09809017890931","1.07573820675992","1.43981308709378","1.85613176563027","1.55852680118976","221","2020-01-28","2020-02-11","15"
"global_60","Heilongjiang","China","47.862","127.7615","22.6","0.555104520247425","0.0874604662446932","7.92526281097893","1.27127127127127","1.76176176176176","1.5015015015015","0.0666719203173996","1.40976482669201","1.62094302831874","1.47145595267785","1.5514577262359","2.13660750544473","1.7299646255273","339","2020-01-28","2020-02-11","15"
"global_61","Henan","China","33.882","113.614","64.8","0.425508964664302","0.0656963778169292","10.5507670832551","1.35135135135135","1.83183183183183","1.57157157157157","0.0556427374681737","1.33399385935696","1.50621251902622","1.38549275848705","1.59379567690049","2.13172430730284","1.74557272439013","972","2020-01-25","2020-02-08","15"
"global_62","Hong Kong","China","22.3","114.2","3.33333333333333","-0.38642837378539","-0.0344662771573141","Inf","1.3013013013013","1.57157157157157","1.41141141141141","-0.0732232643818393","0.667190165480598","0.511257739766601","0.607765933315499","1.1548326075788","1.40576753593398","1.2277835753049","50","2020-02-10","2020-02-24","15"
"global_63","Hubei","China","30.9756","112.2707","1311","1.12808834280771","0.223606238051123","3.09985618738182","0","0","0","0.209671617154822","2.74090102776291","3.56596341888342","2.89876737948807","2.5721845785043","3.45186723811829","2.71592112265984","19665","2020-01-22","2020-02-05","15"
"global_64","Hunan","China","27.6104","111.7088","51.9333333333333","0.379829278614894","0.0460489190048597","15.0524093841767","1.26126126126126","1.7017017017017","1.46146146146146","0.0341208272843533","1.19555649846469","1.29617059799733","1.22698372463888","1.48272241429824","1.99115767096162","1.63455363674299","779","2020-01-25","2020-02-08","15"
"global_65","Inner Mongolia","China","44.0935","113.9448","3","-0.281461736243667","-0.0455273587025433","Inf","1.03103103103103","1.27127127127127","1.12112112112112","-0.0728443253022346","0.668641185258912","0.513289821085782","0.609480048628221","1.12417294883449","1.40490531132461","1.20797829747827","45","2020-02-03","2020-02-17","15"
"global_66","Jiangsu","China","32.9711","119.455","30","0.322293606789878","0.0431677099277818","16.0570755715223","1.27127127127127","1.69169169169169","1.46146146146146","0.0332326713159279","1.19010260043443","1.28789230377006","1.22070110154659","1.48208359373553","1.97947582118307","1.63229063539891","450","2020-01-26","2020-02-09","15"
